aee,     ακαθάριστο εθνικό εισόδημα
εμπαε,    ενιαίο μεσοπρόθεσμο πρόγραμμα ανάπτυξης εκσυγχρονισμού
εναε,    ένωση νομαρχιακών αυτοδιοικήσεων ελλάδας
εομμεχ,    εθνικός οργανισμός μικρομεσαίων μεταποιητικών επιχ/σεων και χειροτεχνίας
εοτ,    ελληνικός οργανισμός τουρισμού
εοφ,    εθνικός οργανισμός φαρμάκων
επ,    επιχειρησιακό πρόγραμμα
επα,    εθνικό πρόγραμμα ανάπτυξης
επαα,    έγγραφο προγραμματισμού αγροτικής ανάπτυξης
επακατ,    επαγγελματική κατάρτιση αε
επαλ,    επαγγελματικά λύκεια
επαν,    επιχειρησιακό πρόγραμμα ανταγωνιστικότητας
επας,    επαγγελματικές σχολές
επε,    εταιρεία περιορισμένης ευθύνης
επεαεκ,    επιχειρησιακό πρόγραμμα εκπαίδευσης και αρχικής επαγ/κής κατάρτισης
επεπ,    εθνικό πρόγραμμα επικοινωνιακής πολιτικής
επευ,    εταιρεία παροχής επενδυτικών υπηρεσιών
επυ,    εθελοντές πενταετούς υποχρέωσης
ερτ,    ελληνική ραδιοφωνία τηλεόραση
εσεπει,    εθνικό σύστημα ελεύθερης επιλογής ιατρών
εσλ,    ευρωπαϊκό σύστημα λογαριασμών
εσοαβ,    εθνικό σχέδιο για την ανασυγκρότηση των βαλκανίων
εσοε,    ειδικό συντονιστικό όργανο ελέγχου
εσπ,    εθνικό σχέδιο προγραμμάτων
εσπα,    εθνικό στρατηγικό πλαίσιο αναφοράς
εσυ,    εθνικό σύστημα υγείας
εσυε,    εθνική στατιστική υπηρεσία ελλάδας
εσυκφ,    εθνικό συμβούλιο κοινωνικής φροντίδας
εσυλ,    εθνικό συμβούλιο λογιστικής
εσυπ,    εθνικό συμβούλιο παιδείας
εσφα,    εθνικό σύστημα φυσικού αερίου
ετα,    επιχειρήσεις τουριστικών ακινήτων
ετακει,    εταιρεία τεχνολογικής ανάπτυξης κλωστοϋφαντουργίας ένδυσης και ινών
εταμ,    ενιαίο ταμείο μισθωτών
ετατ,    εταιρεία τεχνολογικής ανάπτυξης τροφίμων
ετβα,    εθνική τράπεζα βιομηχανικής ανάπτυξης
"ετε
ετε","    ευρωπαϊκή τράπεζα επενδύσεων
"
ετεαμ,    ενιαίο ταμείο επικουρικής ασφάλισης μισθωτών
ετερπς,    ειδικό ταμείο εφαρμογής ρυθμιστικών και πολεοδομικών σχεδίων
ετμοα,    ειδικό ταμείο μονίμων οδοστρωμάτων αθηνών
ετπα,    ευρωπαϊκό ταμείο περιφερειακής ανάπτυξης
ευαθ,    εταιρεία ύδρευσης αποχέτευσης θεσσαλονίκης
ευδαπ,    εταιρεία ύδρευσης αποχέτευσης πρωτευούσης
ευπ,    εθνική υπηρεσία πληροφοριών
εφετ,    ενιαίος φορέας ελέγχου τροφίμων
εφκ,    ειδικός φόρος κατανάλωσης
εφτε,    ειδικός φόρος τραπεζικών εργασιών
εχαε,    ελληνικά χρηματιστήρια αε
ηδατ,    ηλεκτρονική δευτερογενής αγορά τίτλων
ηλπαπ,    ηλεκτρικά λεωφορεία περιοχής αθήνας – πειραιά
ησαπ,    ηλεκτρικοί σιδηρόδρομοι αθήνας – πειραιά
ιεκ,    ινστιτούτο επαγγελματικής κατάρτισης
ικα,    ίδρυμα κοινωνικών ασφαλίσεων
ικυ,    ίδρυμα  κρατικών υποτροφιών
ινθυαε,    ινστιτούτο έρευνας νοσημάτων θώρακος υγιεινής και ασφάλειας της εργασίας
ιοβε,    ινστιτούτο οικονομικών και βιομηχανικών ερευνών
ιοκ,    ινστιτούτο οικονομίας κατασκευών
ιτσακ,    ινστιτούτο τεχνικής σεισμολογίας & αντισεισμικών κατασκευών
ιφετ,    ινστιτούτο φαρμακευτικής έρευνας και τεχνολογίας
ιχθυκα,    ιχθυοκαλλιεργητικό κέντρο αχελώου
κααν,    κεφάλαιο ανεργίας και ασθένειας ναυτικών
καε,    καταστήματα αφορολογήτων ειδών
καθ,    κεντρική αγορά θεσσαλονίκης
καπ καπ,"    κοινή αγροτική πολιτική
"
καπε,    κέντρο ανανεώσιμων πηγών ενέργειας
κβς,     κώδικας βιβλίων στοιχείων
κδαυ,    κέντρα διάγνωσης αξιολόγησης υποστήριξης
κεαδ,    κεντρική επιτροπή απλούστευσης διαδικασιών
κεγ,    κέντρο ελληνικής γούνας αε
κεδ,     κτηματική εταιρεία του δημοσίου
κεδκε,     κεντρική ένωση δήμων και κοινοτήτων ελλάδος
κεελ,     κέντρο ελέγχου ειδικών λοιμώξεων
κεελπνο,     κέντρο ελέγχου και πρόληψης νοσημάτων
κεθεα,     κέντρο θεραπείας εξαρτημένων ατόμων
κεπ,    κέντρο εξυπηρέτησης πολιτών
κεπατ,    κέντρα προπονητικού και αθλητικού τουρισμού
κεπε,     κέντρο προγραμματισμού και ερευνών
κεπυο,     κέντρο πληροφορικής υπουργείου οικονομικών
κεσυτ,    κεφάλαιο επιχειρηματικών συμμετοχών υψηλής τεχνολογίας
κετα,    κέντρα επιχειρηματικής και τεχνολογικής ανάπτυξης
κθβε,     κρατικό θέατρο βορείου ελλάδος
κκ,     κεντρική κυβέρνηση
κοκ,     κώδικας οδικής κυκλοφορίας
κπ,     κρατικός προϋπολογισμός
κπα,    κέντρο προώθησης απασχόλησης
κπς κπς,"     κοινοτικό πλαίσιο στήριξης
"
κτγκ & δ,     κεντρικό ταμείο γεωργίας κτηνοτροφίας και δασών
κτεο,     κέντρο τεχνικού ελέγχου οχημάτων
κτπ,     κοινωνία της πληροφορίας
κυα,    κοινή υπουργική απόφαση
κυε,     κέντρο υποδοχής επενδυτών
κυσεα,     κυβερνητικό συμβούλιο εξωτερικών και άμυνας
λαφκα,     λογαριασμός αλληλεγγύης φορέων κοινωνικής ασφάλισης
λς,     λιμενικό σώμα
μα-βε,    μεταλλεία αμιάντου β. ελλάδος
ματυ,     μονάδα ανάλυσης και τεχνικής υποστήριξης
μεα,     μόνιμη ελληνική αντιπροσωπεία
μεβη,    μεταλλουργική βιομηχανία ηπείρου αε
μεδ,     μη επαναλαμβανόμενες δαπάνες
μεθ,     μονάδες εντατικής θεραπείας
μμε,     μέσα μαζικής ενημέρωσης
μοπ,     μεσογειακά ολοκληρωμένα προγράμματα
μσι,     μηχανισμός συναλλαγματικών ισοτιμιών
μτπυ,     μετοχικό ταμείο πολιτικών υπαλλήλων
να,     νομαρχιακή αυτοδιοίκηση
ναεδκ,     νέα ανώνυμος εταιρεία διώρυγας κορίνθου
νατ,     ναυτικό απομαχικό ταμείο
νατ (κααν),     ναυτικό απομαχικό ταμείο (κεφάλαιο ανεργίας & ασθένειας ναυτικών)
νεε,     νέοι ελεύθεροι επαγγελματίες
νελε,     νομαρχιακές επιτροπές λαϊκής επιμόρφωσης
νιμτς,     νοσηλευτικό ίδρυμα μετοχικού ταμείου στρατού
νπδδ,     νομικό πρόσωπο δημοσίου δικαίου
νπιδ,     νομικό πρόσωπο ιδιωτικού δικαίου
νσκ,     νομικό συμβούλιο του κράτους
νχι,     νομισματικά χρηματοπιστωτικά ιδρύματα
"οα
οα","     ολυμπιακή αεροπορία
"
οαε,     οργανισμός ανασυγκρότησης επιχειρήσεων
οαεδ,     οργανισμός απασχόλησης εργατικού δυναμικού
οαεε,     οργανισμός ασφάλισης ελευθέρων επαγγελμάτων
οαθ,     οργανισμός αποχέτευσης θεσσαλονίκης
οαπ-δεη,     οργανισμός ασφάλισης προσωπικού δεη
οασα,     οργανισμός αστικών συγκοινωνιών αθηνών
οασθ,     οργανισμός αστικών συγκοινωνιών θεσσαλονίκης
οασπ,    οργανισμός αντισεισμικού σχεδιασμού & προστασίας
ογα,     οργανισμός γεωργικών ασφαλίσεων
ογεεκα,"     οργανισμός     γεωργικής     επαγγελματικής     εκπαίδευσης,     κατάρτισης     και
απασχόλησης"
οδδηχ,    οργανισμός διαχείρισης δημόσιου χρέους
οδδυ,     οργανισμός διαχείρισης δημόσιου υλικού
οδιε,     οργανισμός διεξαγωγής ιπποδρομιών ελλάδος
οεδβ,     οργανισμός έκδοσης διδακτικών βιβλίων
οεε,     οικονομικό επιμελητήριο ελλάδος
οεε,     οργανισμός εργατικής εστίας
οεκ,     οργανισμός εργατικής κατοικίας
οεοα,     οργανισμός επιτροπής ολυμπιακών αγώνων
οηε,     οργανισμός ηνωμένων εθνών
οκα,     οργανισμοί κοινωνικής ασφάλισης
οκαα,     οργανισμός κεντρικής αγοράς αθηνών
οκανα,    οργανισμός κατά των ναρκωτικών
οκαπ,    οργανισμοί κοινωνικής ασφάλισης και πρόνοιας
οκε,    οικονομική και κοινωνική επιτροπή
οκχε,    οργανισμός κτηματολογίου και χαρτογραφήσεων ελλάδος
ολα,    οργανισμός λιμένος αλεξανδρούπολης
ολε,    οργανισμός λιμένος ελευσίνας
ολη,    οργανισμός λιμένος ηρακλείου
οληγ,    οργανισμός λιμένος ηγουμενίτσας
ολθ,    οργανισμός λιμένος θεσσαλονίκης
ολκ,    οργανισμός λιμένος καβάλας
ολκε,    οργανισμός λιμένος κέρκυρας
ολλ,    οργανισμός λιμένος λαυρίου
ολπ,    οργανισμός λιμένος πειραιώς
ολπα,    οργανισμός λιμένος πατρών
ολρ,    οργανισμός λιμένος ραφήνας
ονε,    οικονομική νομισματική ένωση
οοσα,    οργανισμός οικονομικής συνεργασίας και ανάπτυξης
οπαδ,    οργανισμός περίθαλψης ασφαλισμένων δημοσίου
οπαπ,    οργανισμός προγνωστικών αγώνων ποδοσφαίρου
οπε,    οργανισμός προώθησης εξαγωγών
οπεγεπ,    οργανισμός πιστοποίησης και επίβλεψης γεωργικών προϊόντων
οπεκ,    οργανισμός πετρελαιοπαραγωγών κρατών
οπεκεπε,"    οργανισμός πληρωμών & ελέγχου κοινοτικών ενισχύσεων προσανατολισμού &
εγγυήσεων"
οπεπ,    οργανισμός προβολής ελληνικού πολιτισμού
οπιλογ,    οργανισμός πιστοποίησης λογαριασμών
οπς,    ολοκληρωμένο πληροφοριακό σύστημα
οπσδπ,    ολοκληρωμένο πληροφοριακό σύστημα δημοσιονομικής πολιτικής
οπστ,     ολοκληρωμένο πληροφορικό σύστημα τελωνείων
οσε,    οργανισμός σιδηροδρόμων ελλάδας
οσκ,    οργανισμός σχολικών κτιρίων
οτα,    οργανισμοί τοπικής αυτοδιοίκησης
οτε,    οργανισμός τηλεπικοινωνιών ελλάδος
οτεκ,    οργανισμός τουριστικής εκπαίδευσης και κατάρτισης
ουθ,    οργανισμός ύδρευσης θεσσαλονίκης
παεπ,    παρατηρητήριο απασχόλησης ερευνητική πληροφορική
πδ,    προεδρικό διάταγμα
πδε,    πρόγραμμα δημόσιων επενδύσεων
πεκ,    περιφερειακά ελεγκτικά κέντρα
πεκ,    περιφερειακά επιμορφωτικά κέντρα
πεπ,     περιφερειακά επιχειρησιακά προγράμματα
πεσυ,     περιφερειακό σύστημα υγείας
ποε,    παρελθόντα οικονομικά έτη
ποε,    παγκόσμιος οργανισμός εμπορίου
ποπς,    πανελλήνια ομοσπονδία πολιτικών συνταξιούχων
πς,    πυροσβεστικό σώμα
πσα,     πρόγραμμα σταθερότητας και ανάπτυξης
πσεα,     πολιτική σχεδίαση έκτακτης ανάγκης
πσεες,     πληροφοριακό σύστημα ενημέρωσης και εξυπηρέτησης συνταξιούχων
πυς,     πράξη υπουργικού συμβουλίου
σαεπ,    συλλογική απόφαση έργων περιφέρειας
σανα,    συλλογική απόφαση νομαρχιακής αυτοδιοίκησης
σατ,   σύστημα άϋλων τίτλων
σατα,    συλλογική απόφαση τοπικής αυτοδιοίκησης
σδε,    σώμα δημοσιονομικών ελεγκτών
σδιτ,    σύμπραξη δημόσιου και ιδιωτικού τομέα
σεε,    σύνολο ετήσιων εκμεταλλεύσεων
σεκ,    συνεχιζόμενη επαγγελματική κατάρτιση
σεπε,    σώμα επιθεωρητών εργασίας
σευυο,    σχολή επιμόρφωσης υπαλλήλων υπουργείου οικονομικών
σκα,    σιδηροδρομικό κέντρο αχαρνών
σολπ,    σύστημα ολικής λογιστικής παρακολούθησης
σπα,    σχέδιο περιφερειακής ανάπτυξης
στεπ,    σταθμός εξυπηρέτησης πολιτών
συνελ,    συνεταιριστική εταιρεία λιπασμάτων
ταε,    ταμείο ασφαλίσεως εμπόρων
τακε,    ταμείο κληρικών ελλάδος
τασε,     ταμείο ανάπτυξης συμβουλίου ευρώπης
ταχδικ,    ταμείο χρηματοδοτήσεως δικαστικών κτιρίων
τε,    τράπεζα ελλάδος
τεαα,    τέλη εκσυγχρονισμού και ανάπτυξης αεροδρομίων
τεαυφε,    ταμείο επικουρικής ασφάλισης υπαλλήλων φαρμακευτικών εταιρειών
τεβε,    ταμείο επαγγελματιών και βιοτεχνών ελλάδος
τεε,    τεχνικά επαγγελματικά εκπαιδευτήρια
τεθα,    ταμείο εθνικής άμυνας
τει,    τεχνολογικά εκπαιδευτικά ιδρύματα
τεκ,    τοπικά ελεγκτικά κέντρα
τεμπμε,    ταμείο εγγυοδοσίας μικρών και πολύ μικρών επιχειρήσεων
τεο,    ταμείο εθνικής οδοποιίας
τκασε,    ταμείο κοινωνικής ανάπτυξης συμβουλίου ευρώπης
τπ,    τακτικός προϋπολογισμός
τπδ,    ταμείο παρακαταθηκών και δανείων
τπε,    τεχνολογίες πληροφορικής και επικοινωνιών
τσα,    ταμείο συντάξεων αυτοκινητιστών
τσαυ,    ταμείο συντάξεως και αυτασφάλισης υγειονομικών
τσμεδε,    ταμείο συντάξεων μηχανικών και εργοληπτών δημοσίων έργων
τσν,    ταμείο συντάξεως νομικών
τσπ ησαπ,    ταμείο συντάξεων προσωπικού ησαπ
ττ,    ταχυδρομικό ταμιευτήριο
τυδκ,    τεχνική υπηρεσία δήμων και κοινοτήτων
υδε,    υπηρεσίες δημοσιονομικού ελέγχου
υεβ,    υπηρεσία εγγείων βελτιώσεων
υεθα,     υπουργείο εθνικής άμυνας
υπα,    υπηρεσία πολιτικής αεροπορίας
υπαατ,    υπουργείο αγροτικής ανάπτυξης και τροφίμων
υπαδ,    υπηρεσία περίθαλψης ασφαλισμένων δημοσίου
υπεε,    υπηρεσία ειδικών ελέγχων
υπεθα,    υπουργείο εθνικής άμυνας
υπεθο,     υπουργείο εθνικής οικονομίας
υπεπθ,    υπουργείο εθνικής παιδείας και θρησκευμάτων
υπεχωδε,     υπουργείο περιβάλλοντος χωροταξίας και δημοσίων έργων
υποιο,     υπουργείο οικονομίας και οικονομικών
υππο,    υπουργείο πολιτισμού
υυκα,    υπουργείο υγείας και κοινωνικής αλληλεγγύης
φεκ,    φύλλο εφημερίδας της κυβερνήσεως
φκε,    φόρος κύκλου εργασιών
φμαπ,    φόρος μεγάλης ακίνητης περιουσίας
φμυ,     φόρος μισθωτών υπηρεσιών
φπα,    φόρος προστιθέμενης αξίας
χαα,    χρηματιστήριο αξιών αθηνών
χαδα,    χώροι ανεξέλεγκτης διάθεσης αποβλήτων
χεδ,    χρέος ενόπλων δυνάμεων
χμπα,    χρηματοδοτικό μέσο προσανατολισμού και αλιείας
χυκ,    χάρτης υποχρεώσεων καταναλωτή
dac,    development assistance committee (διμερής αναπτυξιακή βοήθεια)
emu,    european monetary union
esa,    european system accounts
feoga,    fonds europeen d’ orientation et de garantie agricde
icis,    integrated customs information system
nato,    north atlantic treaty organisation
olaf,    the european anti-fraud office
taxis,    tax information system
vies,    vat information exchange system
